[22:21:16:203] [INFO] - org.hibernate.validator.internal.util.Version.<clinit>(Version.java:21) - HV000001: Hibernate Validator 6.0.14.Final
[22:23:03:615] [INFO] - com.broada.one.service.impl.ComputerServiceImpl.storeComputerInfo(ComputerServiceImpl.java:70) - 完成一次储存计算机信息,computerInfo:ComputerInfo(cpuCombined=0.012042147516307075, cpuUser=0.0, cpuSys=0.012042147516307075, cpuWait=0.0, cpuIdle=0.9879578524836929, memTotal=16982999040, memUsed=6804549632, memFree=10178449408, fileSysMsgMap={C:\=[C:\总大小:    104788988KB, C:\剩余大小:    35466480KB], E:\=[E:\总大小:    488369148KB, E:\剩余大小:    394683660KB], D:\=[D:\总大小:    129022972KB, D:\剩余大小:    47838096KB], FileSysCount=3})
[22:23:08:609] [INFO] - com.broada.one.service.impl.ComputerServiceImpl.storeComputerInfo(ComputerServiceImpl.java:70) - 完成一次储存计算机信息,computerInfo:ComputerInfo(cpuCombined=0.003983071944236993, cpuUser=0.0, cpuSys=0.003983071944236993, cpuWait=0.0, cpuIdle=0.996016928055763, memTotal=16982999040, memUsed=6767910912, memFree=10215088128, fileSysMsgMap={C:\=[C:\总大小:    104788988KB, C:\剩余大小:    35466480KB], E:\=[E:\总大小:    488369148KB, E:\剩余大小:    394683652KB], D:\=[D:\总大小:    129022972KB, D:\剩余大小:    47838096KB], FileSysCount=3})
[22:23:13:607] [INFO] - com.broada.one.service.impl.ComputerServiceImpl.storeComputerInfo(ComputerServiceImpl.java:70) - 完成一次储存计算机信息,computerInfo:ComputerInfo(cpuCombined=0.007722969606377678, cpuUser=0.0, cpuSys=0.007722969606377678, cpuWait=0.0, cpuIdle=0.9922770303936224, memTotal=16982999040, memUsed=6766936064, memFree=10216062976, fileSysMsgMap={C:\=[C:\总大小:    104788988KB, C:\剩余大小:    35466480KB], E:\=[E:\总大小:    488369148KB, E:\剩余大小:    394683652KB], D:\=[D:\总大小:    129022972KB, D:\剩余大小:    47838096KB], FileSysCount=3})
[22:23:18:607] [INFO] - com.broada.one.service.impl.ComputerServiceImpl.storeComputerInfo(ComputerServiceImpl.java:70) - 完成一次储存计算机信息,computerInfo:ComputerInfo(cpuCombined=0.01917808219178082, cpuUser=0.007721046077210461, cpuSys=0.01145703611457036, cpuWait=0.0, cpuIdle=0.9808219178082191, memTotal=16982999040, memUsed=6766436352, memFree=10216562688, fileSysMsgMap={C:\=[C:\总大小:    104788988KB, C:\剩余大小:    35466480KB], E:\=[E:\总大小:    488369148KB, E:\剩余大小:    394683648KB], D:\=[D:\总大小:    129022972KB, D:\剩余大小:    47838096KB], FileSysCount=3})
[22:23:23:611] [INFO] - com.broada.one.service.impl.ComputerServiceImpl.storeComputerInfo(ComputerServiceImpl.java:70) - 完成一次储存计算机信息,computerInfo:ComputerInfo(cpuCombined=0.01185477895776735, cpuUser=0.00395159298592245, cpuSys=0.0079031859718449, cpuWait=0.0, cpuIdle=0.9881452210422327, memTotal=16982999040, memUsed=6766505984, memFree=10216493056, fileSysMsgMap={C:\=[C:\总大小:    104788988KB, C:\剩余大小:    35466224KB], E:\=[E:\总大小:    488369148KB, E:\剩余大小:    394683648KB], D:\=[D:\总大小:    129022972KB, D:\剩余大小:    47838096KB], FileSysCount=3})
[22:23:28:605] [INFO] - com.broada.one.service.impl.ComputerServiceImpl.storeComputerInfo(ComputerServiceImpl.java:70) - 完成一次储存计算机信息,computerInfo:ComputerInfo(cpuCombined=0.01568334578043316, cpuUser=0.003983071944236993, cpuSys=0.011700273836196167, cpuWait=0.0, cpuIdle=0.9843166542195668, memTotal=16982999040, memUsed=6767198208, memFree=10215800832, fileSysMsgMap={C:\=[C:\总大小:    104788988KB, C:\剩余大小:    35466224KB], E:\=[E:\总大小:    488369148KB, E:\剩余大小:    394683648KB], D:\=[D:\总大小:    129022972KB, D:\剩余大小:    47838096KB], FileSysCount=3})
[22:23:33:606] [INFO] - com.broada.one.service.impl.ComputerServiceImpl.storeComputerInfo(ComputerServiceImpl.java:70) - 完成一次储存计算机信息,computerInfo:ComputerInfo(cpuCombined=0.023655378486055777, cpuUser=0.00796812749003984, cpuSys=0.015687250996015936, cpuWait=0.0, cpuIdle=0.9723605577689243, memTotal=16982999040, memUsed=6766161920, memFree=10216837120, fileSysMsgMap={C:\=[C:\总大小:    104788988KB, C:\剩余大小:    35466224KB], E:\=[E:\总大小:    488369148KB, E:\剩余大小:    394683632KB], D:\=[D:\总大小:    129022972KB, D:\剩余大小:    47838096KB], FileSysCount=3})
[22:23:38:609] [INFO] - com.broada.one.service.impl.ComputerServiceImpl.storeComputerInfo(ComputerServiceImpl.java:70) - 完成一次储存计算机信息,computerInfo:ComputerInfo(cpuCombined=0.0037509377344336083, cpuUser=0.0, cpuSys=0.0037509377344336083, cpuWait=0.0, cpuIdle=0.9962490622655664, memTotal=16982999040, memUsed=6763188224, memFree=10219810816, fileSysMsgMap={C:\=[C:\总大小:    104788988KB, C:\剩余大小:    35466224KB], E:\=[E:\总大小:    488369148KB, E:\剩余大小:    394683632KB], D:\=[D:\总大小:    129022972KB, D:\剩余大小:    47838096KB], FileSysCount=3})
[22:23:43:615] [INFO] - com.broada.one.service.impl.ComputerServiceImpl.storeComputerInfo(ComputerServiceImpl.java:70) - 完成一次储存计算机信息,computerInfo:ComputerInfo(cpuCombined=0.04269211451531893, cpuUser=0.0233550979407333, cpuSys=0.019337016574585635, cpuWait=0.0, cpuIdle=0.957307885484681, memTotal=16982999040, memUsed=6762778624, memFree=10220220416, fileSysMsgMap={C:\=[C:\总大小:    104788988KB, C:\剩余大小:    35466220KB], E:\=[E:\总大小:    488369148KB, E:\剩余大小:    394683632KB], D:\=[D:\总大小:    129022972KB, D:\剩余大小:    47838096KB], FileSysCount=3})
[22:23:48:616] [INFO] - com.broada.one.service.impl.ComputerServiceImpl.storeComputerInfo(ComputerServiceImpl.java:70) - 完成一次储存计算机信息,computerInfo:ComputerInfo(cpuCombined=0.007783078081847854, cpuUser=0.0, cpuSys=0.007783078081847854, cpuWait=0.0, cpuIdle=0.9922169219181521, memTotal=16982999040, memUsed=6762098688, memFree=10220900352, fileSysMsgMap={C:\=[C:\总大小:    104788988KB, C:\剩余大小:    35466220KB], E:\=[E:\总大小:    488369148KB, E:\剩余大小:    394683632KB], D:\=[D:\总大小:    129022972KB, D:\剩余大小:    47838096KB], FileSysCount=3})
[22:23:53:609] [INFO] - com.broada.one.service.impl.ComputerServiceImpl.storeComputerInfo(ComputerServiceImpl.java:70) - 完成一次储存计算机信息,computerInfo:ComputerInfo(cpuCombined=0.012090680100755667, cpuUser=0.0, cpuSys=0.012090680100755667, cpuWait=0.0, cpuIdle=0.9879093198992444, memTotal=16982999040, memUsed=6757404672, memFree=10225594368, fileSysMsgMap={C:\=[C:\总大小:    104788988KB, C:\剩余大小:    35466220KB], E:\=[E:\总大小:    488369148KB, E:\剩余大小:    394683624KB], D:\=[D:\总大小:    129022972KB, D:\剩余大小:    47838096KB], FileSysCount=3})
[22:23:58:612] [INFO] - com.broada.one.service.impl.ComputerServiceImpl.storeComputerInfo(ComputerServiceImpl.java:70) - 完成一次储存计算机信息,computerInfo:ComputerInfo(cpuCombined=0.019904257999496095, cpuUser=0.011841773746535651, cpuSys=0.008062484252960444, cpuWait=0.0, cpuIdle=0.9800957420005039, memTotal=16982999040, memUsed=6764322816, memFree=10218676224, fileSysMsgMap={C:\=[C:\总大小:    104788988KB, C:\剩余大小:    35466220KB], E:\=[E:\总大小:    488369148KB, E:\剩余大小:    394683624KB], D:\=[D:\总大小:    129022972KB, D:\剩余大小:    47838096KB], FileSysCount=3})
[22:24:03:608] [INFO] - com.broada.one.service.impl.ComputerServiceImpl.storeComputerInfo(ComputerServiceImpl.java:70) - 完成一次储存计算机信息,computerInfo:ComputerInfo(cpuCombined=0.011083743842364532, cpuUser=0.003694581280788177, cpuSys=0.007389162561576354, cpuWait=0.0, cpuIdle=0.9889162561576355, memTotal=16982999040, memUsed=6806999040, memFree=10176000000, fileSysMsgMap={C:\=[C:\总大小:    104788988KB, C:\剩余大小:    35466272KB], E:\=[E:\总大小:    488369148KB, E:\剩余大小:    394683624KB], D:\=[D:\总大小:    129022972KB, D:\剩余大小:    47838096KB], FileSysCount=3})
[22:24:08:607] [INFO] - com.broada.one.service.impl.ComputerServiceImpl.storeComputerInfo(ComputerServiceImpl.java:70) - 完成一次储存计算机信息,computerInfo:ComputerInfo(cpuCombined=0.011502875718929733, cpuUser=0.0, cpuSys=0.011502875718929733, cpuWait=0.0, cpuIdle=0.9884971242810703, memTotal=16982999040, memUsed=6771744768, memFree=10211254272, fileSysMsgMap={C:\=[C:\总大小:    104788988KB, C:\剩余大小:    35466272KB], E:\=[E:\总大小:    488369148KB, E:\剩余大小:    394683624KB], D:\=[D:\总大小:    129022972KB, D:\剩余大小:    47838096KB], FileSysCount=3})
